Date : 2023-10-01 09:29:30
Directory : c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu
Total : 642 files,  499221 codes, 101143 comments, 30508 blanks, all 630872 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\README.md                                                                                            | Markdown     |          6 |          0 |          7 |         13 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\full_buffer\FPS\FPS.ino                                                                     | C++          |        141 |        499 |         40 |        680 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\full_buffer\FontUsage\FontUsage.ino                                                         | C++          |        159 |        402 |         49 |        610 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\full_buffer\GraphicsTest\GraphicsTest.ino                                                   | C++          |        193 |        350 |         37 |        580 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\full_buffer\HelloWorld\HelloWorld.ino                                                       | C++          |         18 |        347 |         11 |        376 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\full_buffer\IconMenu\IconMenu.ino                                                           | C++          |        140 |        364 |         32 |        536 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\full_buffer\PrintUTF8\PrintUTF8.ino                                                         | C++          |         23 |        349 |         16 |        388 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\full_buffer\ScreenShot\ScreenShot.ino                                                       | C++          |         20 |        352 |         13 |        385 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\full_buffer\SelectionList\SelectionList.ino                                                 | C++          |         43 |        355 |         23 |        421 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\full_buffer\Shennong\Shennong.ino                                                           | C++          |        104 |        429 |         47 |        580 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\full_buffer\U8g2Logo\U8g2Logo.ino                                                           | C++          |         70 |        349 |         24 |        443 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\full_buffer\UpdateArea\UpdateArea.ino                                                       | C++          |         43 |        353 |         23 |        419 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\full_buffer\Weather\Weather.ino                                                             | C++          |        116 |        375 |         42 |        533 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\games\LittleRookChess\LittleRookChess.ino                                                   | C++          |      1,351 |        635 |        362 |      2,348 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\games\SpaceTrash\SpaceTrash.ino                                                             | C++          |      1,056 |        567 |        187 |      1,810 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\mui\MUIBlink\MUIBlink.ino                                                                   | C++          |        206 |        371 |         73 |        650 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\mui\MUICountDown\MUICountDown.ino                                                           | C++          |         73 |        383 |         43 |        499 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\mui\MUIInput2BtnBounce2\MUIInput2BtnBounce2.ino                                             | C++          |        133 |        359 |         50 |        542 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\mui\MUIInput3BtnBounce2\MUIInput3BtnBounce2.ino                                             | C++          |        143 |        359 |         51 |        553 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\mui\MUIInput3BtnWithU8g2\MUIInput3BtnWithU8g2.ino                                           | C++          |        124 |        365 |         51 |        540 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\mui\MUIInputSimpleRotary\MUIInputSimpleRotary.ino                                           | C++          |        138 |        359 |         50 |        547 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\mui\MUIInputVersatileRotaryEncoder\MUIInputVersatileRotaryEncoder.ino                       | C++          |        153 |        363 |         58 |        574 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\mui\MUIMinimal\MUIMinimal.ino                                                               | C++          |         62 |        353 |         32 |        447 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\mui\MUIStopwatch\MUIStopwatch.ino                                                           | C++          |         95 |        367 |         46 |        508 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\page_buffer\A2Printer\A2Printer.ino                                                         | C++          |         89 |         47 |         32 |        168 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\page_buffer\ButtonEmoticon\ButtonEmoticon.ino                                               | C++          |         47 |        363 |         22 |        432 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\page_buffer\Chinese\Chinese.ino                                                             | C++          |         24 |        350 |         13 |        387 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\page_buffer\ClipWindow\ClipWindow.ino                                                       | C++          |         27 |        365 |         25 |        417 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\page_buffer\Clock\Clock.ino                                                                 | C++          |         27 |        366 |         20 |        413 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\page_buffer\ContrastTest\ContrastTest.ino                                                   | C++          |         50 |        355 |         23 |        428 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\page_buffer\Devanagari\Devanagari.ino                                                       | C++          |         54 |        389 |         27 |        470 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\page_buffer\DirectAccess\DirectAccess.ino                                                   | C++          |         78 |        373 |         35 |        486 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\page_buffer\DrawLog\DrawLog.ino                                                             | C++          |         41 |        366 |         28 |        435 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\page_buffer\ExtUTF8\ExtUTF8.ino                                                             | C++          |         29 |        357 |         21 |        407 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\page_buffer\FPS\FPS.ino                                                                     | C++          |        136 |        598 |         44 |        778 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\page_buffer\FlipMode\FlipMode.ino                                                           | C++          |         54 |        342 |         24 |        420 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\page_buffer\GraphicsTest\GraphicsTest.ino                                                   | C++          |        221 |        357 |         47 |        625 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\page_buffer\HelloWorld\HelloWorld.ino                                                       | C++          |         18 |        382 |         20 |        420 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\page_buffer\IconMenu\IconMenu.ino                                                           | C++          |        153 |        364 |         33 |        550 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\page_buffer\Japanese\Japanese.ino                                                           | C++          |         24 |        348 |         13 |        385 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\page_buffer\Korean\Korean.ino                                                               | C++          |         24 |        348 |         13 |        385 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\page_buffer\LoadFromSD\LoadFromSD.ino                                                       | C++          |        153 |        386 |         30 |        569 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\page_buffer\MechCount\MechCount.ino                                                         | C++          |         97 |        381 |         41 |        519 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\page_buffer\PowerSaveTest\PowerSaveTest.ino                                                 | C++          |         32 |        342 |         14 |        388 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\page_buffer\PrintHelloWorld\PrintHelloWorld.ino                                             | C++          |         20 |        348 |         13 |        381 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\page_buffer\PrintProgmem\PrintProgmem.ino                                                   | C++          |         32 |        351 |         19 |        402 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\page_buffer\PrintUTF8\PrintUTF8.ino                                                         | C++          |         24 |        350 |         13 |        387 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\page_buffer\ScrollingText\ScrollingText.ino                                                 | C++          |         36 |        365 |         31 |        432 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\page_buffer\SelectionList\SelectionList.ino                                                 | C++          |         43 |        350 |         25 |        418 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\page_buffer\Serial\Serial.ino                                                               | C++          |         28 |        367 |         23 |        418 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\page_buffer\Shennong\Shennong.ino                                                           | C++          |        104 |        428 |         49 |        581 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\page_buffer\StateBufferLoop\StateBufferLoop.ino                                             | C++          |         36 |        379 |         29 |        444 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\page_buffer\Terminal\Terminal.ino                                                           | C++          |         34 |        365 |         26 |        425 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\page_buffer\U8g2Logo\U8g2Logo.ino                                                           | C++          |         73 |        364 |         34 |        471 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\page_buffer\UpdatePartly\UpdatePartly.ino                                                   | C++          |         43 |        373 |         34 |        450 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\page_buffer\Weather\Weather.ino                                                             | C++          |        110 |        376 |         35 |        521 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\page_buffer\XBM\XBM.ino                                                                     | C++          |         77 |        364 |         23 |        464 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\page_buffer\XORTest\XORTest.ino                                                             | C++          |         53 |        361 |         26 |        440 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\u8x8\16x16Font\16x16Font.ino                                                                | C++          |         18 |        290 |         15 |        323 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\u8x8\ArduboyTest\ArduboyTest.ino                                                            | C++          |         86 |         38 |         17 |        141 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\u8x8\FlipMode\FlipMode.ino                                                                  | C++          |         27 |        285 |         14 |        326 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\u8x8\GraphicsTest\GraphicsTest.ino                                                          | C++          |        140 |        292 |         30 |        462 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\u8x8\HelloWorld\HelloWorld.ino                                                              | C++          |         20 |        291 |         13 |        324 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\u8x8\MessageBox\MessageBox.ino                                                              | C++          |         27 |        287 |         11 |        325 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\examples\u8x8\Terminal\Terminal.ino                                                                  | C++          |         27 |        292 |         19 |        338 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\library.properties                                                                                   | Properties   |         10 |          0 |          1 |         11 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\MUIU8g2.h                                                                                        | C++          |         32 |         39 |         16 |         87 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\U8g2lib.cpp                                                                                      | C++          |         29 |         37 |         11 |         77 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\U8g2lib.h                                                                                        | C++          |     24,541 |        110 |        106 |     24,757 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\U8x8lib.cpp                                                                                      | C++          |      1,299 |        301 |        311 |      1,911 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\U8x8lib.h                                                                                        | C++          |      8,332 |        103 |         94 |      8,529 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\mui.c                                                                                       | C            |        558 |        271 |        113 |        942 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\mui.h                                                                                       | C++          |        431 |        104 |         75 |        610 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\mui_u8g2.c                                                                                  | C            |      1,691 |        390 |        163 |      2,244 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\mui_u8g2.h                                                                                  | C++          |        147 |         87 |         74 |        308 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8g2.h                                                                                      | C++          |      3,552 |        262 |        167 |      3,981 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8g2_bitmap.c                                                                               | C            |        146 |         41 |         32 |        219 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8g2_box.c                                                                                  | C            |        134 |         43 |         34 |        211 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8g2_buffer.c                                                                               | C            |        120 |         65 |         29 |        214 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8g2_button.c                                                                               | C            |        163 |        102 |         49 |        314 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8g2_circle.c                                                                               | C            |        331 |         68 |         81 |        480 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8g2_cleardisplay.c                                                                         | C            |          8 |         44 |          3 |         55 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8g2_d_memory.c                                                                             | C            |      2,014 |          3 |          3 |      2,020 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8g2_d_setup.c                                                                              | C            |      7,177 |        931 |          3 |      8,111 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8g2_font.c                                                                                 | C            |        979 |        349 |        214 |      1,542 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8g2_fonts.c                                                                                | C            |    317,057 |     39,169 |          2 |    356,228 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8g2_hvline.c                                                                               | C            |        108 |        118 |         30 |        256 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8g2_input_value.c                                                                          | C            |         82 |         51 |         18 |        151 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8g2_intersection.c                                                                         | C            |         94 |         63 |         20 |        177 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8g2_kerning.c                                                                              | C            |         41 |         44 |         10 |         95 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8g2_line.c                                                                                 | C            |         47 |         35 |         11 |         93 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8g2_ll_hvline.c                                                                            | C            |        202 |        118 |         52 |        372 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8g2_message.c                                                                              | C            |        109 |         57 |         32 |        198 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8g2_polygon.c                                                                              | C            |        258 |         28 |         61 |        347 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8g2_selection_list.c                                                                       | C            |        154 |         88 |         43 |        285 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8g2_setup.c                                                                                | C            |        285 |         92 |         92 |        469 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8log.c                                                                                     | C            |        167 |         67 |         27 |        261 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8log_u8g2.c                                                                                | C            |         33 |         61 |          5 |         99 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8log_u8x8.c                                                                                | C            |         34 |         35 |          7 |         76 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8x8.h                                                                                      | C++          |        729 |        360 |        200 |      1,289 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8x8_8x8.c                                                                                  | C            |        351 |         91 |         52 |        494 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8x8_byte.c                                                                                 | C            |        479 |        110 |         78 |        667 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8x8_cad.c                                                                                  | C            |        634 |        221 |         50 |        905 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8x8_capture.c                                                                              | C            |        169 |         52 |         33 |        254 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8x8_d_a2printer.c                                                                          | C            |        100 |         57 |         25 |        182 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8x8_d_gp1247ai.c                                                                           | C            |        145 |         38 |         22 |        205 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8x8_d_gp1287ai.c                                                                           | C            |        151 |         38 |         24 |        213 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8x8_d_gu800.c                                                                              | C            |        197 |         57 |         43 |        297 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8x8_d_hd44102.c                                                                            | C            |        237 |         79 |         37 |        353 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8x8_d_il3820_296x128.c                                                                     | C            |        300 |        157 |         96 |        553 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8x8_d_ist3020.c                                                                            | C            |        136 |         38 |         27 |        201 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8x8_d_ist3088.c                                                                            | C            |        148 |         90 |         43 |        281 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8x8_d_ist7920.c                                                                            | C            |        134 |         40 |         29 |        203 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8x8_d_ks0108.c                                                                             | C            |        227 |         72 |         46 |        345 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8x8_d_lc7981.c                                                                             | C            |        314 |        154 |         75 |        543 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8x8_d_ld7032_60x32.c                                                                       | C            |        343 |         62 |         53 |        458 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8x8_d_ls013b7dh03.c                                                                        | C            |        168 |         43 |         24 |        235 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8x8_d_max7219.c                                                                            | C            |        336 |         72 |         52 |        460 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8x8_d_pcd8544_84x48.c                                                                      | C            |        108 |         37 |         22 |        167 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8x8_d_pcf8812.c                                                                            | C            |        105 |         65 |         24 |        194 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8x8_d_pcf8814_hx1230.c                                                                     | C            |        130 |         44 |         25 |        199 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8x8_d_s1d15300.c                                                                           | C            |        165 |         53 |         38 |        256 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8x8_d_s1d15721.c                                                                           | C            |        155 |         54 |         23 |        232 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8x8_d_s1d15e06.c                                                                           | C            |        160 |         55 |         36 |        251 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8x8_d_sbn1661.c                                                                            | C            |        135 |         47 |         36 |        218 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8x8_d_sed1330.c                                                                            | C            |        365 |         81 |         89 |        535 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8x8_d_sh1106_64x32.c                                                                       | C            |        142 |         48 |         26 |        216 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8x8_d_sh1106_72x40.c                                                                       | C            |        142 |         49 |         26 |        217 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8x8_d_sh1107.c                                                                             | C            |        599 |        141 |        121 |        861 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8x8_d_sh1108.c                                                                             | C            |        200 |         57 |         43 |        300 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8x8_d_sh1122.c                                                                             | C            |        165 |         90 |         36 |        291 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8x8_d_ssd1305.c                                                                            | C            |        375 |         65 |         75 |        515 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8x8_d_ssd1306_128x32.c                                                                     | C            |        225 |         55 |         44 |        324 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8x8_d_ssd1306_128x64_noname.c                                                              | C            |        379 |         78 |         88 |        545 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8x8_d_ssd1306_2040x16.c                                                                    | C            |        143 |         51 |         20 |        214 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8x8_d_ssd1306_48x64.c                                                                      | C            |        144 |         52 |         20 |        216 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8x8_d_ssd1306_64x32.c                                                                      | C            |        175 |         49 |         35 |        259 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8x8_d_ssd1306_64x48.c                                                                      | C            |        139 |         48 |         27 |        214 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8x8_d_ssd1306_72x40.c                                                                      | C            |        140 |         98 |         29 |        267 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8x8_d_ssd1306_96x16.c                                                                      | C            |        139 |         48 |         27 |        214 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8x8_d_ssd1306_96x40.c                                                                      | C            |        226 |         59 |         44 |        329 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8x8_d_ssd1309.c                                                                            | C            |        290 |         62 |         58 |        410 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8x8_d_ssd1316.c                                                                            | C            |        199 |         75 |         59 |        333 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8x8_d_ssd1317.c                                                                            | C            |        143 |         64 |         35 |        242 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8x8_d_ssd1318.c                                                                            | C            |        181 |         78 |         59 |        318 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8x8_d_ssd1320.c                                                                            | C            |        463 |        143 |        117 |        723 |
| c:\Users\Administrator\Documents\PlatformIO\Projects\230929-111706-nodemcu\lib\U8g2\src\clib\u8x8_d_ssd1322.c                                                                            | C            |        435 |        129 |         90 |        654 |
